** CONVERTED FROM C:\Users\Jasper\Documents\UU\Experiments\SWM\SWM_pupil\Data\edf\BB_O04.edf using edfapi 3.1 Win32 Jul  4 2014 on Tue Feb 16 16:49:23 2016
** DATE: Tue Feb  2 14:36:23 2016
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v4.10 Sep  9 2007
** CAMERA: EyeLink CL Version 1.4 Sensor=CHD
** SERIAL NUMBER: CL1-77T31
** CAMERA_CONFIG: 77T31140.SCD
**

MSG	241063 DRIFTCORRECT L LEFT  at 640,400  OFFSET 0.85 deg.  -26.5,1.5 pix.
MSG	241229 RECCFG CR 1000 2 1 L
MSG	241229 ELCLCFG MTABLE
MSG	241229 GAZE_COORDS 0.00 0.00 1279.00 799.00
MSG	241229 THRESHOLDS L 55 228
MSG	241229 ELCL_PROC CENTROID (3)
MSG	241229 ELCL_PCR_PARAM 5 3.0
START	241230 	LEFT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	LEFT	RATE	1000.00	TRACKING	CR	FILTER	2
SAMPLES	GAZE	LEFT	RATE	1000.00	TRACKING	CR	FILTER	2
MSG	241230 !MODE RECORD CR 1000 2 1 L
241348	  619.6	  400.5	 1077.0	...
241349	  619.3	  400.2	 1078.0	...
241350	  619.3	  399.8	 1078.0	...
241351	  619.3	  399.8	 1078.0	...
241352	  619.3	  400.3	 1078.0	...
241353	  619.2	  400.8	 1078.0	...
241354	  619.1	  401.3	 1079.0	...
241355	  619.1	  401.2	 1079.0	...
241356	  619.1	  400.7	 1079.0	...
241357	  619.0	  400.5	 1078.0	...
241358	  618.8	  400.2	 1077.0	...
241359	  618.9	  400.5	 1078.0	...
241360	  619.2	  400.7	 1079.0	...
241361	  619.4	  400.9	 1081.0	...
241362	  619.3	  400.9	 1081.0	...
241363	  619.4	  400.9	 1081.0	...
241364	  619.7	  401.0	 1082.0	...
241365	  620.0	  401.2	 1082.0	...
241366	  620.1	  401.4	 1082.0	...
241367	  620.2	  401.3	 1080.0	...
241368	  620.2	  401.1	 1079.0	...
241369	  620.4	  400.5	 1079.0	...
241370	  620.6	  400.2	 1079.0	...
MSG	241371 start_phase adaptation
241371	  620.1	  400.0	 1079.0	...
241372	  619.4	  400.6	 1079.0	...
241373	  618.7	  401.2	 1080.0	...
241374	  618.7	  401.6	 1081.0	...
241375	  619.2	  401.7	 1082.0	...
241376	  619.7	  401.0	 1083.0	...
241377	  620.3	  400.3	 1083.0	...
241378	  620.4	  399.6	 1083.0	...
241379	  620.7	  399.7	 1083.0	...
241380	  620.8	  399.7	 1083.0	...
241381	  620.5	  399.6	 1083.0	...
241382	  620.0	  399.5	 1084.0	...
241383	  619.8	  399.5	 1084.0	...
241384	  620.2	  400.1	 1084.0	...
241385	  620.6	  400.7	 1084.0	...
241386	  620.6	  401.3	 1084.0	...
241387	  620.4	  400.9	 1084.0	...
241388	  619.9	  400.5	 1084.0	...
241389	  619.5	  400.1	 1084.0	...
241390	  619.3	  400.0	 1084.0	...
241391	  619.2	  400.2	 1084.0	...
241392	  619.1	  400.7	 1084.0	...
241393	  619.0	  401.1	 1084.0	...
241394	  619.2	  401.4	 1083.0	...
241395	  619.5	  401.5	 1083.0	...
241396	  619.7	  401.2	 1083.0	...
241397	  619.6	  400.8	 1083.0	...
241398	  619.3	  400.3	 1083.0	...
241399	  619.2	  400.2	 1082.0	...
241400	  618.9	  400.1	 1083.0	...
241401	  618.7	  400.5	 1083.0	...
241402	  618.4	  401.0	 1083.0	...
241403	  618.8	  401.7	 1084.0	...
241404	  619.1	  401.8	 1084.0	...
241405	  619.4	  401.9	 1084.0	...
241406	  619.5	  401.6	 1083.0	...
241407	  619.4	  401.3	 1083.0	...
241408	  619.5	  401.2	 1083.0	...
241409	  619.6	  401.1	 1083.0	...
241410	  619.7	  401.2	 1083.0	...
241411	  619.7	  400.8	 1083.0	...
241412	  619.8	  400.3	 1084.0	...
241413	  619.9	  399.9	 1084.0	...
241414	  620.0	  400.1	 1084.0	...
241415	  619.6	  399.9	 1084.0	...
241416	  619.1	  399.7	 1084.0	...
241417	  618.6	  399.8	 1084.0	...
241418	  618.6	  400.3	 1084.0	...
241419	  618.5	  400.5	 1084.0	...
241420	  618.4	  400.2	 1084.0	...
241421	  618.2	  400.0	 1085.0	...
241422	  618.2	  400.0	 1086.0	...
241423	  618.4	  400.1	 1086.0	...
241424	  618.6	  400.1	 1087.0	...
241425	  618.8	  400.1	 1087.0	...
241426	  618.8	  400.1	 1085.0	...
241427	  618.9	  400.1	 1083.0	...
241428	  618.9	  400.4	 1081.0	...
241429	  618.7	  400.5	 1081.0	...
241430	  618.5	  400.6	 1082.0	...
241431	  618.2	  400.6	 1082.0	...
241432	  618.2	  400.9	 1083.0	...
241433	  618.1	  401.1	 1082.0	...
241434	  618.0	  400.8	 1082.0	...
241435	  617.9	  400.3	 1082.0	...
241436	  617.7	  399.7	 1083.0	...
241437	  617.7	  399.4	 1084.0	...
241438	  617.8	  399.4	 1084.0	...
241439	  618.1	  399.4	 1085.0	...
241440	  618.4	  399.3	 1086.0	...
241441	  618.3	  399.3	 1086.0	...
241442	  618.3	  399.9	 1086.0	...
241443	  618.2	  400.5	 1085.0	...
241444	  618.2	  400.8	 1085.0	...
241445	  618.5	  400.6	 1085.0	...
241446	  618.8	  400.3	 1085.0	...
241447	  619.1	  400.5	 1085.0	...
241448	  619.0	  400.7	 1085.0	...
241449	  618.8	  400.9	 1086.0	...
241450	  618.5	  400.9	 1087.0	...
241451	  618.3	  400.9	 1088.0	...
241452	  618.4	  401.0	 1088.0	...
241453	  618.5	  400.9	 1088.0	...
241454	  618.5	  400.7	 1087.0	...
241455	  618.2	  400.3	 1086.0	...
241456	  617.8	  400.0	 1085.0	...
241457	  617.7	  399.8	 1085.0	...
241458	  617.6	  399.8	 1084.0	...
241459	  617.6	  400.0	 1083.0	...
241460	  617.8	  400.2	 1082.0	...
241461	  618.1	  400.4	 1081.0	...
241462	  618.4	  400.4	 1081.0	...
241463	  618.4	  400.4	 1081.0	...
241464	  618.3	  400.4	 1081.0	...
241465	  618.2	  400.1	 1080.0	...
241466	  618.0	  399.5	 1080.0	...
241467	  618.0	  399.1	 1081.0	...
241468	  617.1	  399.2	 1082.0	...
241469	  616.2	  399.5	 1081.0	...
241470	  615.3	  399.7	 1079.0	...
241471	  614.8	  399.9	 1077.0	...
241472	  614.3	  400.0	 1078.0	...
241473	  613.2	  400.1	 1080.0	...
241474	  612.6	  400.0	 1081.0	...
241475	  611.6	  399.1	 1080.0	...
241476	  610.7	  398.2	 1078.0	...
241477	  609.7	  397.7	 1077.0	...
241478	  609.3	  397.6	 1076.0	...
241479	  609.6	  397.6	 1076.0	...
241480	  610.1	  397.6	 1076.0	...
MSG	241481 end_phase adaptation
241481	  610.5	  397.4	 1077.0	...
241482	  610.7	  397.1	 1078.0	...
241483	  611.1	  396.8	 1078.0	...
241484	  611.6	  396.9	 1079.0	...
241485	  612.0	  397.1	 1080.0	...
MSG	241486 var valid 0
241486	  612.0	  397.3	 1080.0	...
MSG	241487 var response -999
MSG	241487 var rt -999
MSG	241487 end_trial
241487	  612.1	  397.4	 1079.0	...
241488	  612.1	  397.3	 1078.0	...
241489	  612.4	  397.1	 1078.0	...
241490	  612.6	  396.6	 1078.0	...
241491	  612.9	  396.3	 1079.0	...
241492	  612.9	  396.7	 1081.0	...
241493	  612.9	  397.4	 1082.0	...
241494	  612.9	  397.8	 1082.0	...
241495	  612.8	  397.5	 1081.0	...
241496	  612.5	  397.1	 1080.0	...
241497	  612.2	  396.5	 1079.0	...
241498	  612.1	  395.9	 1079.0	...
241499	  612.2	  396.0	 1079.0	...
241500	  612.4	  396.6	 1079.0	...
241501	  612.4	  397.0	 1080.0	...
241502	  612.3	  397.0	 1081.0	...
241503	  612.1	  397.5	 1083.0	...
241504	  611.9	  398.1	 1084.0	...
241505	  611.9	  398.9	 1085.0	...
241506	  612.2	  399.1	 1085.0	...
241507	  612.4	  399.3	 1085.0	...
241508	  612.4	  399.3	 1084.0	...
241509	  612.0	  399.4	 1086.0	...
