** CONVERTED FROM C:\Users\Jasper\Documents\UU\Experiments\SWM\SWM_pupil\Data\edf\LL_O06.edf using edfapi 3.1 Win32 Jul  4 2014 on Tue Feb 16 16:58:02 2016
** DATE: Mon Feb 15 15:35:30 2016
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v4.10 Sep  9 2007
** CAMERA: EyeLink CL Version 1.4 Sensor=CHD
** SERIAL NUMBER: CL1-77T31
** CAMERA_CONFIG: 77T31140.SCD
**

MSG	10986460 DRIFTCORRECT L LEFT  at 640,400  OFFSET 0.62 deg.  -3.5,-16.3 pix.
MSG	10986568 RECCFG CR 1000 2 1 L
MSG	10986568 ELCLCFG MTABLE
MSG	10986568 GAZE_COORDS 0.00 0.00 1279.00 799.00
MSG	10986568 THRESHOLDS L 73 235
MSG	10986568 ELCL_PROC CENTROID (3)
MSG	10986568 ELCL_PCR_PARAM 5 3.0
START	10986569 	LEFT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	LEFT	RATE	1000.00	TRACKING	CR	FILTER	2
SAMPLES	GAZE	LEFT	RATE	1000.00	TRACKING	CR	FILTER	2
MSG	10986569 !MODE RECORD CR 1000 2 1 L
10986680	  638.7	  387.6	 1171.0	...
10986681	  639.0	  387.6	 1171.0	...
10986682	  639.4	  387.6	 1172.0	...
10986683	  639.5	  387.7	 1171.0	...
10986684	  639.3	  387.6	 1171.0	...
10986685	  639.0	  387.5	 1170.0	...
10986686	  639.0	  387.4	 1171.0	...
10986687	  639.0	  387.4	 1171.0	...
10986688	  639.0	  387.3	 1171.0	...
10986689	  639.1	  387.2	 1171.0	...
10986690	  639.1	  386.6	 1171.0	...
10986691	  639.1	  386.0	 1170.0	...
10986692	  639.0	  385.5	 1170.0	...
10986693	  639.0	  385.4	 1169.0	...
10986694	  638.8	  385.4	 1168.0	...
10986695	  638.8	  385.6	 1168.0	...
10986696	  638.9	  385.7	 1168.0	...
10986697	  639.0	  385.6	 1168.0	...
10986698	  639.1	  385.9	 1170.0	...
10986699	  639.1	  386.2	 1171.0	...
10986700	  639.0	  386.3	 1172.0	...
10986701	  638.9	  386.1	 1172.0	...
10986702	  638.6	  385.9	 1172.0	...
10986703	  638.5	  385.8	 1172.0	...
10986704	  638.5	  385.6	 1172.0	...
10986705	  638.7	  385.7	 1172.0	...
10986706	  639.0	  385.9	 1172.0	...
10986707	  639.2	  386.0	 1174.0	...
10986708	  639.3	  386.1	 1176.0	...
10986709	  639.1	  386.3	 1178.0	...
10986710	  639.0	  386.8	 1177.0	...
10986711	  639.0	  387.0	 1177.0	...
10986712	  639.2	  386.8	 1177.0	...
10986713	  639.4	  386.7	 1176.0	...
10986714	  639.4	  386.7	 1177.0	...
MSG	10986715 start_phase adaptation
10986715	  639.3	  386.7	 1179.0	...
10986716	  639.3	  386.8	 1180.0	...
10986717	  639.3	  386.8	 1181.0	...
10986718	  639.2	  386.8	 1182.0	...
10986719	  639.0	  386.8	 1182.0	...
10986720	  638.7	  386.8	 1183.0	...
10986721	  638.6	  386.8	 1183.0	...
10986722	  638.4	  386.6	 1183.0	...
10986723	  638.4	  386.4	 1184.0	...
10986724	  638.5	  386.4	 1183.0	...
10986725	  638.3	  386.7	 1183.0	...
10986726	  638.2	  387.2	 1182.0	...
10986727	  638.0	  387.4	 1183.0	...
10986728	  637.9	  387.0	 1183.0	...
10986729	  637.9	  386.6	 1182.0	...
10986730	  638.1	  386.2	 1183.0	...
10986731	  638.2	  386.2	 1184.0	...
10986732	  638.4	  386.2	 1185.0	...
10986733	  638.2	  386.1	 1186.0	...
10986734	  638.1	  386.1	 1187.0	...
10986735	  637.8	  386.2	 1188.0	...
10986736	  637.7	  386.1	 1189.0	...
10986737	  637.8	  385.7	 1190.0	...
10986738	  638.0	  385.4	 1191.0	...
10986739	  638.3	  385.2	 1191.0	...
10986740	  638.2	  385.4	 1191.0	...
10986741	  638.1	  385.5	 1190.0	...
10986742	  638.1	  385.5	 1189.0	...
10986743	  638.0	  385.6	 1189.0	...
10986744	  637.9	  385.6	 1190.0	...
10986745	  637.6	  385.4	 1190.0	...
10986746	  637.4	  385.3	 1190.0	...
10986747	  637.3	  385.1	 1190.0	...
10986748	  637.3	  385.0	 1190.0	...
10986749	  637.3	  385.3	 1191.0	...
10986750	  637.4	  385.6	 1192.0	...
10986751	  637.4	  385.8	 1192.0	...
10986752	  637.4	  385.9	 1191.0	...
10986753	  637.5	  386.0	 1189.0	...
10986754	  637.6	  386.2	 1188.0	...
10986755	  637.8	  386.3	 1190.0	...
10986756	  638.1	  386.4	 1194.0	...
10986757	  638.3	  386.5	 1198.0	...
10986758	  638.5	  386.7	 1198.0	...
10986759	  638.5	  386.8	 1197.0	...
10986760	  638.5	  386.8	 1195.0	...
10986761	  638.5	  386.7	 1194.0	...
10986762	  638.2	  386.7	 1194.0	...
10986763	  637.9	  386.7	 1194.0	...
10986764	  637.6	  386.7	 1195.0	...
10986765	  637.6	  387.2	 1195.0	...
10986766	  637.6	  387.6	 1195.0	...
10986767	  637.5	  388.0	 1195.0	...
10986768	  637.4	  388.0	 1196.0	...
10986769	  637.3	  388.1	 1198.0	...
10986770	  637.3	  388.1	 1198.0	...
10986771	  637.3	  388.1	 1199.0	...
10986772	  637.3	  388.0	 1199.0	...
10986773	  637.2	  388.0	 1198.0	...
10986774	  637.2	  388.0	 1199.0	...
10986775	  637.2	  387.9	 1201.0	...
10986776	  637.3	  387.8	 1202.0	...
10986777	  637.4	  387.7	 1201.0	...
10986778	  637.3	  387.7	 1200.0	...
10986779	  637.2	  387.8	 1199.0	...
10986780	  637.0	  387.6	 1199.0	...
10986781	  637.2	  387.4	 1200.0	...
10986782	  637.3	  387.3	 1201.0	...
10986783	  637.1	  387.3	 1203.0	...
10986784	  636.8	  387.4	 1204.0	...
10986785	  636.8	  387.6	 1205.0	...
10986786	  637.1	  387.8	 1205.0	...
10986787	  637.4	  387.9	 1204.0	...
10986788	  637.3	  387.4	 1202.0	...
10986789	  637.5	  386.8	 1200.0	...
10986790	  637.7	  386.5	 1199.0	...
10986791	  638.0	  386.5	 1199.0	...
10986792	  638.0	  386.6	 1201.0	...
10986793	  638.0	  386.7	 1202.0	...
10986794	  638.0	  386.8	 1204.0	...
10986795	  638.0	  386.9	 1204.0	...
10986796	  638.0	  386.7	 1203.0	...
