** CONVERTED FROM C:\Users\Jasper\Documents\UU\Experiments\SWM\SWM_pupil\Data\edf\LL_L06.edf using edfapi 3.1 Win32 Jul  4 2014 on Tue Feb 16 16:57:37 2016
** DATE: Mon Feb 15 15:59:35 2016
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v4.10 Sep  9 2007
** CAMERA: EyeLink CL Version 1.4 Sensor=CHD
** SERIAL NUMBER: CL1-77T31
** CAMERA_CONFIG: 77T31140.SCD
**

MSG	12428306 DRIFTCORRECT L LEFT  at 640,400  OFFSET 0.95 deg.  -3.4,-25.1 pix.
MSG	12428414 RECCFG CR 1000 2 1 L
MSG	12428414 ELCLCFG MTABLE
MSG	12428414 GAZE_COORDS 0.00 0.00 1279.00 799.00
MSG	12428414 THRESHOLDS L 73 235
MSG	12428414 ELCL_PROC CENTROID (3)
MSG	12428414 ELCL_PCR_PARAM 5 3.0
START	12428415 	LEFT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	LEFT	RATE	1000.00	TRACKING	CR	FILTER	2
SAMPLES	GAZE	LEFT	RATE	1000.00	TRACKING	CR	FILTER	2
MSG	12428415 !MODE RECORD CR 1000 2 1 L
12428415	  640.6	  378.2	 1010.0	...
12428416	  640.4	  377.6	 1010.0	...
12428417	  640.4	  377.0	 1010.0	...
12428418	  640.7	  376.8	 1010.0	...
12428419	  641.0	  376.7	 1010.0	...
12428420	  641.3	  376.6	 1010.0	...
12428421	  641.6	  376.5	 1010.0	...
SFIX L   12428422
12428422	  642.0	  376.5	 1010.0	...
12428423	  642.4	  376.7	 1011.0	...
12428424	  642.6	  376.9	 1012.0	...
12428425	  642.6	  377.0	 1013.0	...
12428426	  642.6	  377.3	 1013.0	...
12428427	  642.4	  377.8	 1013.0	...
12428428	  642.1	  378.2	 1013.0	...
12428429	  641.8	  378.4	 1013.0	...
12428430	  641.9	  378.3	 1012.0	...
12428431	  642.1	  378.0	 1010.0	...
12428432	  642.3	  377.8	 1008.0	...
12428433	  642.5	  377.8	 1010.0	...
12428434	  642.8	  377.9	 1013.0	...
12428435	  643.0	  378.0	 1014.0	...
12428436	  643.2	  378.0	 1012.0	...
12428437	  643.1	  378.0	 1011.0	...
12428438	  642.9	  378.0	 1012.0	...
12428439	  642.9	  378.0	 1013.0	...
12428440	  642.9	  378.0	 1013.0	...
12428441	  642.9	  377.9	 1014.0	...
12428442	  642.7	  377.8	 1013.0	...
12428443	  642.4	  377.7	 1013.0	...
12428444	  642.2	  377.6	 1014.0	...
12428445	  642.3	  377.4	 1015.0	...
12428446	  642.4	  377.4	 1016.0	...
12428447	  642.4	  377.6	 1017.0	...
12428448	  642.3	  377.9	 1018.0	...
12428449	  642.1	  377.7	 1018.0	...
12428450	  642.4	  377.2	 1020.0	...
12428451	  642.8	  376.6	 1022.0	...
12428452	  643.0	  376.6	 1023.0	...
12428453	  642.9	  377.0	 1024.0	...
12428454	  642.9	  377.5	 1024.0	...
